hardware,metric,baseline_mean,baseline_std,adaptive_mean,adaptive_std,delta_mean,delta_pct,lower_is_better,winner
edgetpu,GD,0.006221,0.001282,0.008388,0.002689,+0.002167,+34.83,True,Baseline
edgetpu,IGD,0.003653,0.000775,0.002924,0.000397,-0.000728,-19.94,True,Adaptive
edgetpu,IGD+,0.000936,0.000827,0.000248,0.000146,-0.000688,-73.50,True,Adaptive
edgetpu,HV,0.818453,0.002205,0.817592,0.000926,-0.000861,-0.11,False,Baseline
edgetpu,Spread,1.007780,0.021757,0.966023,0.020114,-0.041757,-4.14,True,Adaptive
edgetpu,n_pareto,50,,50,,+0,+0.0,,Tie
edgetpu,n_true_pareto,39,,39,,+0,+0.0,,Tie
edgetpu,n_on_true_pf,28,,26,,-2,-7.1,,Tie
