hardware,metric,baseline_mean,baseline_std,adaptive_mean,adaptive_std,delta_mean,delta_pct,lower_is_better,winner
eyeriss,GD,0.004523,0.002739,0.004183,0.002761,-0.000340,-7.51,True,Adaptive
eyeriss,IGD,0.007546,0.011803,0.006339,0.010341,-0.001207,-16.00,True,Adaptive
eyeriss,IGD+,0.005128,0.010256,0.005128,0.010256,+0.000000,+0.00,True,Tie
eyeriss,HV,0.848536,0.000835,0.849077,0.000283,+0.000541,+0.06,False,Adaptive
eyeriss,Spread,1.496738,0.027394,1.496648,0.027735,-0.000091,-0.01,True,Adaptive
eyeriss,n_pareto,50,,50,,+0,+0.0,,Tie
eyeriss,n_true_pareto,13,,13,,+0,+0.0,,Tie
eyeriss,n_on_true_pf,13,,13,,+0,+0.0,,Tie
