hardware,metric,baseline_mean,baseline_std,adaptive_mean,adaptive_std,delta_mean,delta_pct,lower_is_better,winner
edgegpu,IGD+,0.001045,0.001106,0.000852,0.000965,-0.000193,-18.50,True,Adaptive
edgegpu,HV,0.833694,0.000451,0.834006,0.000052,+0.000312,+0.04,False,Adaptive
edgegpu,Spread,1.519323,0.034695,1.530756,0.020477,+0.011432,+0.75,True,Baseline
edgegpu,n_on_true_pf,21,,22,,+1,+4.8,,Tie
