dataset,hardware,igdp_baseline_mean,igdp_baseline_std,igdp_adaptive_mean,igdp_adaptive_std,igdp_change_pct,igdp_result,spread_baseline_mean,spread_baseline_std,spread_adaptive_mean,spread_adaptive_std,spread_change_pct,spread_result
cifar10,edgegpu,0.0006233045836501677,0.0005088675079627928,0.001037930637013241,0.0003203629242389485,66.52061676411223,WORSE,1.6309244530454843,0.04395033516104465,1.624299527640547,0.008221934362202024,-0.40620676160482766,IMPROVED
cifar10,raspi4,0.00019598479467679286,7.039772643514844e-05,0.00025791601802050356,0.00013755306786964431,31.60001440205818,WORSE,1.343455506724041,0.015244678941443554,1.3323263396173168,0.010716276206174215,-0.8283986370238774,IMPROVED
cifar10,edgetpu,0.0012262500053431477,0.0009740861310965172,0.0002789933246498549,0.0002361642420943015,-77.24825089221649,IMPROVED,1.3347969464650022,0.022021761501097182,1.296875739922358,0.03162430879478116,-2.8409719278331047,IMPROVED
cifar10,pixel3,0.0003962085727208461,0.00010212023518409613,0.0003710786270060079,0.00010141714309138832,-6.342605245077286,IMPROVED,1.2861229685211688,0.027098406230605086,1.2676383785860577,0.02904331591828791,-1.4372334829200204,IMPROVED
cifar10,eyeriss,0.0,0.0,0.0,0.0,0.0,NO CHANGE,1.4276356416422786,0.0013234025666948393,1.4285714285714286,1.2819751242557092e-16,0.06554802232826662,WORSE
cifar10,fpga,0.004924023850740526,0.004020448638536215,8.799021548804107e-05,0.00012443695609931884,-98.2130424596784,IMPROVED,1.5510204081632655,0.03332639105827448,1.5238095238095237,0.019241000848613923,-1.7543859649122968,IMPROVED
cifar100,edgegpu,0.0016466924597903206,0.001064833299386693,0.0013872800137120494,0.0009133588926304935,-15.753545510939132,IMPROVED,1.5418431837646012,0.019310155427127183,1.5416232215504067,0.02005709554771276,-0.014266185855389552,IMPROVED
cifar100,raspi4,0.00026218965509111674,5.365780552877358e-05,0.00011128698448045612,9.693508756378995e-06,-57.554776735267666,IMPROVED,1.2846152915024147,0.006833201027880889,1.2777164810603792,0.0007142979372932624,-0.5370331871082654,IMPROVED
cifar100,edgetpu,0.0004459382486965135,5.1121460360437346e-05,0.00032919008043011925,0.00013188661661495512,-26.18034416371583,IMPROVED,0.9838944452450882,0.01354220932383674,0.9770950959011451,0.00515332239594149,-0.6910649182747838,IMPROVED
cifar100,pixel3,0.0003247076307029944,7.379364525631149e-05,0.0002776421607526514,0.0001526644564252021,-14.494722482636432,IMPROVED,1.3913332918580108,0.024690042886867474,1.3934054114958523,0.011548432157132565,0.14893050069076838,WORSE
cifar100,eyeriss,0.0,0.0,0.0,0.0,0.0,NO CHANGE,1.5105123362001054,3.104628595878168e-06,1.5104915841329951,2.5071985986364886e-06,-0.0013738429414273529,IMPROVED
cifar100,fpga,0.0035397229290359046,0.0017764161453969968,0.005677127509188577,0.0071364838010918655,60.3833865814697,WORSE,1.4557823129251701,0.019241000848613715,1.4122562116081692,0.011581825742507606,-2.9898770530837107,IMPROVED
ImageNet16-120,edgegpu,0.0027173267904540914,0.00030971149377647544,0.002227501436244048,0.001684460664646822,-18.026000992254186,IMPROVED,1.379095742611933,0.010344262275782638,1.3649038628204426,0.056309652028097734,-1.029071394609031,IMPROVED
ImageNet16-120,raspi4,0.0010155880093258008,0.0004471316568400689,0.0005599059802477154,0.00011398410424225874,-44.86878782475882,IMPROVED,1.2287279283584291,0.013144209811807693,1.2165529843050997,0.01128216562760355,-0.9908575993381259,IMPROVED
ImageNet16-120,edgetpu,0.0031488598744374356,0.0012497236864172578,0.004802389687453936,0.001873790255591961,52.51201637900492,WORSE,1.2464054259853325,0.04234656251246452,1.22521706515138,0.0679196517722365,-1.6999573647717592,IMPROVED
ImageNet16-120,pixel3,0.001130130618544463,0.00023311285816499564,0.00038645395033891204,0.0003058634902030436,-65.80448808327657,IMPROVED,1.114270726590466,0.012933508126214239,1.0732376023641803,0.021196682722560575,-3.6825093980385004,IMPROVED
ImageNet16-120,eyeriss,0.0023809523809523777,0.0016835875742536824,0.0,0.0,-100.0,IMPROVED,1.484998932989687,0.012245586971855968,1.4693877551020407,1.2819751242557092e-16,-1.0512585255679001,IMPROVED
ImageNet16-120,fpga,0.0012499957770412931,0.0017677609808008923,0.0006649795303989193,0.0005750366736871732,-46.80145784388902,IMPROVED,1.3400366308691813,0.022545173595071334,1.3712705104844283,0.01583984096764892,2.330822821984191,WORSE
