architecture,accuracy,latency_ms
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|,94.3733,7.8235
|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|,94.3733,7.8235
|skip_connect~0|+|skip_connect~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|none~2|,89.8750,1.9253
|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,94.3067,5.3659
|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|,94.3433,6.5947
|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|,94.3433,6.5947
|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,91.2967,2.9083
|none~0|+|skip_connect~0|none~1|+|none~0|skip_connect~1|nor_conv_3x3~2|,92.3667,3.1541
|none~0|+|skip_connect~0|none~1|+|none~0|skip_connect~1|nor_conv_3x3~2|,92.3667,3.1541
|none~0|+|nor_conv_3x3~0|skip_connect~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,93.3967,3.3999
|nor_conv_3x3~0|+|skip_connect~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|,93.7700,4.6287
|skip_connect~0|+|skip_connect~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|none~2|,89.8750,1.9253
|none~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,90.8300,2.1711
|nor_conv_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,93.7500,3.8914
|nor_conv_3x3~0|+|none~0|nor_conv_3x3~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,94.1300,4.8744
|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,94.3067,5.3659
|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,90.9900,2.6626
|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,91.2967,2.9083
|none~0|+|nor_conv_3x3~0|skip_connect~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,93.3967,3.3999
|skip_connect~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,93.5967,3.6456
|nor_conv_3x3~0|+|none~0|nor_conv_3x3~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,94.1300,4.8744
|skip_connect~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,93.5967,3.6456
|nor_conv_1x1~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,90.8800,2.4168
|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,90.9900,2.6626
|none~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,90.8300,2.1711
|nor_conv_1x1~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,90.8800,2.4168
|nor_conv_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,93.7500,3.8914
|nor_conv_3x3~0|+|skip_connect~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|,93.7700,4.6287
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
|none~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|none~2|,86.7967,1.6795
