generation,gd,igd,igd_plus,hv,spread
1,0.073287,0.025224,0.000526,1.123387,1.073305
2,0.068148,0.037197,0.000697,1.128182,1.253714
3,0.018312,0.025103,0.007957,1.114903,1.132829
4,0.022458,0.025007,0.007572,1.115583,1.128659
5,0.022628,0.023409,0.007638,1.117135,1.231185
6,0.021113,0.020620,0.007899,1.119938,1.261607
7,0.018998,0.030356,0.022143,1.127274,1.204188
8,0.023080,0.030428,0.022179,1.128279,1.198107
9,0.022005,0.030428,0.022179,1.128458,1.264003
10,0.019494,0.028293,0.022579,1.129806,1.224940
11,0.005508,0.027984,0.022594,1.130911,1.309920
12,0.006738,0.027176,0.022714,1.131006,1.278324
13,0.006676,0.026755,0.022699,1.131265,1.330890
14,0.004891,0.025336,0.022920,1.131669,1.293937
15,0.004645,0.026437,0.023093,1.131905,1.374794
16,0.003508,0.026437,0.022845,1.131933,1.360154
17,0.005793,0.015941,0.011228,1.132175,1.360703
18,0.005607,0.012453,0.007843,1.135676,1.336788
19,0.005609,0.012001,0.007335,1.135681,1.332917
20,0.005609,0.012001,0.007335,1.135681,1.332917
21,0.005774,0.012001,0.007335,1.135681,1.332917
22,0.005774,0.012001,0.007335,1.135681,1.332917
23,0.007324,0.012001,0.007335,1.135681,1.332917
24,0.007100,0.011992,0.007335,1.136239,1.332934
25,0.007337,0.011992,0.007335,1.136846,1.311501
26,0.008273,0.005891,0.001016,1.137274,1.374726
27,0.008439,0.005750,0.000755,1.137275,1.358929
28,0.003066,0.009736,0.006245,1.138112,1.309374
29,0.003150,0.009736,0.006245,1.138112,1.286077
30,0.003367,0.008665,0.006244,1.138180,1.286925
31,0.003671,0.008492,0.006265,1.138190,1.286879
32,0.003671,0.008492,0.006265,1.138190,1.286879
33,0.003496,0.008492,0.006265,1.138190,1.286879
34,0.003312,0.008428,0.006244,1.138195,1.286858
35,0.003312,0.008428,0.006244,1.138195,1.286858
36,0.003121,0.007356,0.006239,1.138270,1.251033
37,0.002996,0.007134,0.006239,1.138336,1.238222
38,0.002996,0.007134,0.006239,1.138336,1.238222
39,0.003154,0.007134,0.006239,1.138336,1.238222
40,0.003154,0.007151,0.006247,1.138336,1.238285
41,0.003175,0.007151,0.006212,1.138337,1.234729
42,0.003175,0.007036,0.006113,1.138341,1.230212
43,0.003042,0.006975,0.006049,1.138336,1.230108
44,0.003042,0.006975,0.006049,1.138336,1.230108
45,0.003042,0.007061,0.006053,1.138329,1.230223
46,0.003042,0.007061,0.006053,1.138329,1.230223
47,0.003042,0.007061,0.006053,1.138329,1.230223
48,0.003042,0.007061,0.006053,1.138329,1.230223
49,0.002689,0.007020,0.005985,1.138332,1.230147
50,0.002174,0.006813,0.005993,1.138584,1.238642
51,0.002174,0.006813,0.005993,1.138584,1.238642
52,0.002174,0.006813,0.005993,1.138584,1.238642
53,0.002174,0.006813,0.005993,1.138584,1.238642
54,0.002174,0.006813,0.005993,1.138584,1.238642
55,0.002174,0.006813,0.005993,1.138584,1.238642
56,0.002174,0.006813,0.005993,1.138584,1.238642
57,0.002121,0.006761,0.005991,1.138604,1.239648
58,0.002121,0.006761,0.005956,1.138602,1.239868
59,0.002110,0.006683,0.005839,1.138602,1.238371
60,0.002110,0.006683,0.005839,1.138602,1.238371
61,0.002110,0.006683,0.005839,1.138602,1.238371
62,0.001181,0.006505,0.005839,1.138652,1.238214
63,0.001181,0.006583,0.005848,1.138635,1.239852
64,0.001181,0.006583,0.005848,1.138635,1.239852
65,0.001181,0.006583,0.005848,1.138635,1.239852
66,0.001181,0.006583,0.005848,1.138635,1.239852
67,0.001181,0.006583,0.005848,1.138635,1.239852
68,0.001181,0.006583,0.005848,1.138635,1.239852
69,0.001181,0.006583,0.005848,1.138635,1.239852
70,0.001181,0.006583,0.005848,1.138635,1.239852
71,0.001181,0.006583,0.005848,1.138635,1.239852
72,0.001181,0.006583,0.005848,1.138635,1.239852
73,0.001181,0.006583,0.005848,1.138635,1.239852
74,0.001181,0.006583,0.005848,1.138635,1.239852
75,0.001187,0.006571,0.005848,1.138637,1.239891
76,0.001187,0.006571,0.005848,1.138637,1.239891
77,0.001151,0.006547,0.005869,1.138641,1.239789
78,0.001151,0.006547,0.005869,1.138641,1.239789
79,0.001168,0.006604,0.005857,1.138634,1.239807
80,0.001168,0.006604,0.005857,1.138634,1.239807
81,0.001168,0.006604,0.005857,1.138634,1.239807
82,0.001151,0.000849,0.000109,1.138980,1.277675
83,0.001151,0.000735,0.000058,1.138990,1.277575
84,0.001151,0.000735,0.000058,1.138990,1.277575
85,0.001151,0.000735,0.000058,1.138990,1.277575
86,0.001171,0.000798,0.000035,1.138982,1.277518
87,0.001171,0.000798,0.000035,1.138982,1.277518
88,0.001171,0.000798,0.000035,1.138982,1.277518
89,0.001171,0.000798,0.000035,1.138982,1.277518
90,0.001171,0.000798,0.000035,1.138982,1.277518
91,0.001151,0.001075,0.000239,1.138976,1.277925
92,0.001162,0.000834,0.000165,1.138996,1.277802
93,0.001162,0.000834,0.000165,1.138996,1.277802
94,0.001162,0.000834,0.000165,1.138996,1.277802
95,0.001162,0.000834,0.000165,1.138996,1.277802
96,0.001162,0.000834,0.000165,1.138996,1.277802
97,0.001175,0.000848,0.000167,1.138989,1.277495
98,0.001197,0.000824,0.000171,1.138992,1.277429
99,0.001197,0.000824,0.000171,1.138992,1.277429
100,0.001197,0.000824,0.000171,1.138992,1.277429
