hardware,metric,baseline_mean,baseline_std,adaptive_mean,adaptive_std,delta_mean,delta_pct,lower_is_better,winner
edgegpu,GD,0.005435,0.003576,0.001296,0.001042,-0.004139,-76.16,True,Adaptive
edgegpu,IGD,0.002306,0.001261,0.001501,0.000922,-0.000805,-34.92,True,Adaptive
edgegpu,IGD+,0.001176,0.001039,0.000885,0.000930,-0.000292,-24.79,True,Adaptive
edgegpu,HV,0.833107,0.000530,0.833985,0.000062,+0.000878,+0.11,False,Adaptive
edgegpu,Spread,1.511135,0.030801,1.528978,0.021204,+0.017844,+1.18,True,Baseline
edgegpu,n_pareto,50,,50,,+0,+0.0,,Tie
edgegpu,n_true_pareto,25,,25,,+0,+0.0,,Tie
edgegpu,n_on_true_pf,18,,21,,+3,+16.7,,Tie
raspi4,GD,0.001499,0.000984,0.002953,0.002573,+0.001455,+97.08,True,Baseline
raspi4,IGD,0.000874,0.000210,0.001379,0.000761,+0.000505,+57.78,True,Baseline
raspi4,IGD+,0.000161,0.000054,0.000337,0.000212,+0.000176,+109.32,True,Baseline
raspi4,HV,0.949021,0.000083,0.948925,0.000250,-0.000096,-0.01,False,Baseline
raspi4,Spread,1.277209,0.008477,1.284956,0.013415,+0.007747,+0.61,True,Baseline
raspi4,n_pareto,50,,50,,+0,+0.0,,Tie
raspi4,n_true_pareto,39,,39,,+0,+0.0,,Tie
raspi4,n_on_true_pf,26,,28,,+2,+7.7,,Tie
edgetpu,GD,0.006221,0.001282,0.008388,0.002689,+0.002167,+34.83,True,Baseline
edgetpu,IGD,0.003653,0.000775,0.002924,0.000397,-0.000728,-19.94,True,Adaptive
edgetpu,IGD+,0.000936,0.000827,0.000248,0.000146,-0.000688,-73.50,True,Adaptive
edgetpu,HV,0.818453,0.002205,0.817592,0.000926,-0.000861,-0.11,False,Baseline
edgetpu,Spread,1.007780,0.021757,0.966023,0.020114,-0.041757,-4.14,True,Adaptive
edgetpu,n_pareto,50,,50,,+0,+0.0,,Tie
edgetpu,n_true_pareto,39,,39,,+0,+0.0,,Tie
edgetpu,n_on_true_pf,28,,26,,-2,-7.1,,Tie
pixel3,GD,0.002640,0.000439,0.002151,0.000467,-0.000488,-18.50,True,Adaptive
pixel3,IGD,0.004799,0.005919,0.001770,0.000613,-0.003028,-63.11,True,Adaptive
pixel3,IGD+,0.002850,0.005141,0.000241,0.000117,-0.002609,-91.53,True,Adaptive
pixel3,HV,0.968657,0.001262,0.968264,0.001059,-0.000393,-0.04,False,Baseline
pixel3,Spread,1.373288,0.039122,1.391037,0.012044,+0.017748,+1.29,True,Baseline
pixel3,n_pareto,50,,50,,+0,+0.0,,Tie
pixel3,n_true_pareto,35,,35,,+0,+0.0,,Tie
pixel3,n_on_true_pf,25,,26,,+1,+4.0,,Tie
eyeriss,GD,0.004523,0.002739,0.004183,0.002761,-0.000340,-7.51,True,Adaptive
eyeriss,IGD,0.007546,0.011803,0.006339,0.010341,-0.001207,-16.00,True,Adaptive
eyeriss,IGD+,0.005128,0.010256,0.005128,0.010256,+0.000000,+0.00,True,Tie
eyeriss,HV,0.848536,0.000835,0.849077,0.000283,+0.000541,+0.06,False,Adaptive
eyeriss,Spread,1.496738,0.027394,1.496648,0.027735,-0.000091,-0.01,True,Adaptive
eyeriss,n_pareto,50,,50,,+0,+0.0,,Tie
eyeriss,n_true_pareto,13,,13,,+0,+0.0,,Tie
eyeriss,n_on_true_pf,13,,13,,+0,+0.0,,Tie
fpga,GD,0.009196,0.001837,0.008630,0.002099,-0.000566,-6.15,True,Adaptive
fpga,IGD,0.009412,0.008388,0.004612,0.001635,-0.004799,-50.99,True,Adaptive
fpga,IGD+,0.004791,0.007663,0.002253,0.001770,-0.002538,-52.97,True,Adaptive
fpga,HV,0.773448,0.000726,0.775229,0.000880,+0.001780,+0.23,False,Adaptive
fpga,Spread,1.420922,0.009710,1.435324,0.029154,+0.014403,+1.01,True,Baseline
fpga,n_pareto,50,,50,,+0,+0.0,,Tie
fpga,n_true_pareto,15,,15,,+0,+0.0,,Tie
fpga,n_on_true_pf,10,,12,,+2,+20.0,,Tie
