hardware,metric,baseline_mean,baseline_std,adaptive_mean,adaptive_std,delta_mean,delta_pct,lower_is_better,winner
edgegpu,IGD+,0.001805,0.001143,0.001739,0.001439,-0.000066,-3.67,True,Adaptive
edgegpu,HV,0.801815,0.000433,0.801866,0.000310,+0.000052,+0.01,False,Adaptive
edgegpu,Spread,1.361977,0.022573,1.370410,0.044138,+0.008433,+0.62,True,Baseline
edgegpu,n_on_true_pf,25,,25,,+0,+0.0,,Tie
