architecture,accuracy,latency_ms
|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,72.3733,5.1938
|skip_connect~0|+|none~0|none~1|+|nor_conv_3x3~0|none~1|skip_connect~2|,67.6867,2.3906
|nor_conv_1x1~0|+|none~0|skip_connect~1|+|skip_connect~0|skip_connect~1|avg_pool_3x3~2|,64.9933,2.0578
|nor_conv_1x1~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,67.7200,2.6786
|none~0|+|none~0|skip_connect~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|,67.7500,2.8002
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
|skip_connect~0|+|none~0|none~1|+|skip_connect~0|none~1|skip_connect~2|,58.8133,1.1330
