generation,gd,igd,igd_plus,hv,spread
1,0.023939,0.025943,0.001015,1.119970,0.910912
2,0.040661,0.030541,0.008751,1.128458,1.059613
3,0.021105,0.030482,0.011519,1.135610,1.197697
4,0.020451,0.028182,0.011997,1.140313,1.178369
5,0.019698,0.026421,0.012304,1.141609,1.196911
6,0.016904,0.024313,0.011673,1.143237,1.177902
7,0.014637,0.021839,0.013395,1.150851,1.191629
8,0.008525,0.021565,0.013296,1.151800,1.277025
9,0.008210,0.021443,0.013222,1.151829,1.308845
10,0.008833,0.021567,0.013222,1.152280,1.299033
11,0.008777,0.021292,0.013133,1.152317,1.298926
12,0.008871,0.021292,0.013133,1.152317,1.298926
13,0.007506,0.021347,0.013133,1.153002,1.331910
14,0.007506,0.021957,0.013133,1.153219,1.338438
15,0.005358,0.021905,0.013760,1.153941,1.347056
16,0.005769,0.021834,0.013771,1.153973,1.354249
17,0.005140,0.021748,0.013771,1.153997,1.369727
18,0.005337,0.021614,0.013770,1.154033,1.369339
19,0.005087,0.021614,0.013770,1.154033,1.369339
20,0.005052,0.021614,0.013770,1.154033,1.369339
21,0.005067,0.009009,0.001166,1.154382,1.506616
22,0.004882,0.007280,0.001360,1.155385,1.474005
23,0.004870,0.007280,0.001360,1.155385,1.474005
24,0.005680,0.007214,0.001360,1.155491,1.450704
25,0.004756,0.007214,0.001360,1.155491,1.476101
26,0.004756,0.007214,0.001360,1.155491,1.476101
27,0.004745,0.006462,0.001161,1.155529,1.449469
28,0.004745,0.006407,0.001113,1.155533,1.447598
29,0.002898,0.005431,0.001113,1.156294,1.431393
30,0.002086,0.005002,0.001113,1.156428,1.434165
31,0.001989,0.004987,0.001113,1.156430,1.434147
32,0.001989,0.004987,0.001113,1.156430,1.434147
33,0.001989,0.004987,0.001113,1.156430,1.434147
34,0.002071,0.004987,0.001113,1.156430,1.434147
35,0.002071,0.004987,0.001113,1.156430,1.434147
36,0.002071,0.004987,0.001113,1.156430,1.434147
37,0.002232,0.004966,0.001113,1.156438,1.433866
38,0.002174,0.004969,0.001113,1.156438,1.433881
39,0.002174,0.004969,0.001113,1.156438,1.433881
40,0.002174,0.004969,0.001113,1.156438,1.433881
41,0.002518,0.004969,0.001033,1.157227,1.424747
42,0.002518,0.004969,0.001033,1.157227,1.424747
43,0.002691,0.004969,0.001033,1.157227,1.424747
44,0.002691,0.004969,0.001033,1.157227,1.424747
45,0.002691,0.004969,0.001033,1.157227,1.424747
46,0.002691,0.004969,0.001033,1.157227,1.424747
47,0.002691,0.004400,0.000624,1.157340,1.424695
48,0.002501,0.004400,0.000624,1.157339,1.424698
49,0.002501,0.004400,0.000624,1.157339,1.424698
50,0.002501,0.004400,0.000624,1.157339,1.424698
51,0.002501,0.004400,0.000624,1.157339,1.424698
52,0.002512,0.004408,0.000624,1.157338,1.424857
53,0.002584,0.004309,0.000524,1.157341,1.424103
54,0.002584,0.004309,0.000524,1.157341,1.424103
55,0.002584,0.004309,0.000524,1.157341,1.424103
56,0.002910,0.004309,0.000524,1.157341,1.424103
57,0.002619,0.004112,0.000524,1.157359,1.428140
58,0.002589,0.004112,0.000524,1.157359,1.428140
59,0.002539,0.004112,0.000524,1.157359,1.428140
60,0.002539,0.004112,0.000524,1.157359,1.428140
61,0.002539,0.004112,0.000524,1.157359,1.428140
62,0.002539,0.004112,0.000524,1.157359,1.428140
63,0.002157,0.004112,0.000524,1.157359,1.428140
64,0.002157,0.004112,0.000524,1.157359,1.428140
65,0.002157,0.004112,0.000524,1.157359,1.428140
66,0.002157,0.004112,0.000524,1.157359,1.428140
67,0.002157,0.004112,0.000524,1.157359,1.428140
68,0.002122,0.004116,0.000524,1.157359,1.428140
69,0.002157,0.004112,0.000524,1.157359,1.428140
70,0.002157,0.004112,0.000524,1.157359,1.428140
71,0.002157,0.004112,0.000524,1.157359,1.428140
72,0.002157,0.004112,0.000524,1.157359,1.428140
73,0.002284,0.004116,0.000524,1.157360,1.428140
74,0.002284,0.004116,0.000524,1.157360,1.428140
75,0.002284,0.004116,0.000524,1.157360,1.428140
76,0.002491,0.004116,0.000524,1.157360,1.425979
77,0.002491,0.004116,0.000524,1.157360,1.425979
78,0.002343,0.004116,0.000524,1.157359,1.425980
79,0.002343,0.004116,0.000524,1.157359,1.425980
80,0.002343,0.004116,0.000524,1.157359,1.425980
81,0.002343,0.003998,0.000406,1.157360,1.422984
82,0.002422,0.003998,0.000406,1.157360,1.422983
83,0.002397,0.002098,0.000282,1.157510,1.399404
84,0.002397,0.002098,0.000282,1.157510,1.399404
85,0.002397,0.002098,0.000282,1.157510,1.399404
86,0.002397,0.002098,0.000282,1.157510,1.399404
87,0.002397,0.002098,0.000282,1.157510,1.399404
88,0.002397,0.002098,0.000282,1.157510,1.399404
89,0.002397,0.002098,0.000282,1.157510,1.399404
90,0.002397,0.002098,0.000282,1.157510,1.399404
91,0.002397,0.002098,0.000282,1.157510,1.399404
92,0.002397,0.002098,0.000282,1.157510,1.399404
93,0.002397,0.002098,0.000282,1.157510,1.399404
94,0.002397,0.002098,0.000282,1.157510,1.399404
95,0.002397,0.002098,0.000282,1.157510,1.399404
96,0.002405,0.002098,0.000282,1.157510,1.399406
97,0.002405,0.002098,0.000282,1.157510,1.399406
98,0.002405,0.002098,0.000282,1.157510,1.399406
99,0.002318,0.002098,0.000282,1.157510,1.399406
100,0.002318,0.002098,0.000282,1.157510,1.399406
